dataset_slug,display_name,role,repetition,status,run_success,field_selector_exact,scope_exact,objective_priority_exact,workload_exact,credential_policy_exact,target_exact,logical_mapping_valid,oracle_strategy_valid,mandatory_check_recall,unauthorized_check_count,unnecessary_proposal_count,planning_complete,intention_latency_seconds,planning_latency_seconds,failure_type,failure_message
reanalysis_era5_pressure_levels,ERA5 pressure levels,development,1,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,19.49837945890613,29.982017082860693,,
reanalysis_era5_pressure_levels,ERA5 pressure levels,development,2,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,23.2050732919015,17.73174645891413,,
reanalysis_era5_pressure_levels,ERA5 pressure levels,development,3,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,19.981073332950473,16.396766666788608,,
openaq_v3,OpenAQ,development,1,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,14.869240165920928,20.518380749970675,,
openaq_v3,OpenAQ,development,2,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,13.227743291994557,16.40781541611068,,
openaq_v3,OpenAQ,development,3,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,17.17304908321239,21.157027582870796,,
cams_eac4,CAMS EAC4,held_out,1,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,15.829824834130704,21.857239958830178,,
cams_eac4,CAMS EAC4,held_out,2,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,19.39931158302352,17.35258045908995,,
cams_eac4,CAMS EAC4,held_out,3,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,21.134288750123233,16.279854249907658,,
noaa_oisst_v21,NOAA OISST v2.1,held_out,1,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,13.895158583065495,13.908325416967273,,
noaa_oisst_v21,NOAA OISST v2.1,held_out,2,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,20.581425874959677,12.339161791140214,,
noaa_oisst_v21,NOAA OISST v2.1,held_out,3,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,23.63178624981083,14.643578290939331,,
noaa_ghcn_daily,NOAA GHCN-Daily,held_out,1,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,13.51334899989888,15.623373459093273,,
noaa_ghcn_daily,NOAA GHCN-Daily,held_out,2,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,15.808983625145629,20.024019041098654,,
noaa_ghcn_daily,NOAA GHCN-Daily,held_out,3,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,26.405436584027484,15.445343083003536,,
usgs_daily_water,USGS Daily Values,held_out,1,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,14.358484457945451,15.26635520812124,,
usgs_daily_water,USGS Daily Values,held_out,2,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,24.324303959030658,16.149059040937573,,
usgs_daily_water,USGS Daily Values,held_out,3,success,True,True,True,True,True,True,True,True,True,1.0,0,0,True,19.768344833049923,13.17739654192701,,
